ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
ZC,Setcases - Ulldeter (2.413 m),SETCASES___ULLDETER_2413_M_ZC,2026-02-19,2026-02-19 04:22:21,https://www.meteo.cat/observacions/xema/dades?codi=ZC&dia=2026-02-19T09:00Z,55 cm,77%,2.5 mm,,0.0 MJ/m2,43.9 km/h - 312º 1:58 TU,-3.0 °C 0:00 TU,-7.0 °C 2:52 TU,-5.7 °C
XT,Solsona,SOLSONA_XT,2026-02-19,2026-02-19 04:22:23,https://www.meteo.cat/observacions/xema/dades?codi=XT&dia=2026-02-19T09:00Z,,80%,0.0 mm,1007.8 hPa,0.0 MJ/m2,33.5 km/h - 262º 3:57 TU,6.8 °C 1:08 TU,4.8 °C 3:51 TU,5.8 °C
XH,Sort,SORT_XH,2026-02-19,2026-02-19 04:22:26,https://www.meteo.cat/observacions/xema/dades?codi=XH&dia=2026-02-19T09:00Z,1 cm,100%,0.8 mm,1009.1 hPa,,,6.1 °C 0:01 TU,1.3 °C 3:55 TU,4.3 °C
VX,Tagamanent - Pn del Montseny,TAGAMANENT___PN_DEL_MONTSENY_VX,2026-02-19,2026-02-19 04:22:29,https://www.meteo.cat/observacions/xema/dades?codi=VX&dia=2026-02-19T09:00Z,,89%,0.0 mm,,,,5.6 °C 0:18 TU,3.5 °C 3:56 TU,4.6 °C
XE,Tarragona - Complex Educatiu,TARRAGONA___COMPLEX_EDUCATIU_XE,2026-02-19,2026-02-19 04:22:32,https://www.meteo.cat/observacions/xema/dades?codi=XE&dia=2026-02-19T09:00Z,,48%,0.0 mm,1009.1 hPa,0.0 MJ/m2,40.3 km/h - 288º 3:21 TU,15.3 °C 0:14 TU,13.3 °C 3:41 TU,14.5 °C
YK,Terrassa,TERRASSA_YK,2026-02-19,2026-02-19 04:22:34,https://www.meteo.cat/observacions/xema/dades?codi=YK&dia=2026-02-19T09:00Z,,70%,0.0 mm,,0.0 MJ/m2,51.1 km/h - 281º 1:42 TU,12.4 °C 0:37 TU,9.5 °C 3:58 TU,11.0 °C
Y6,Tivissa,TIVISSA_Y6,2026-02-19,2026-02-19 04:22:37,https://www.meteo.cat/observacions/xema/dades?codi=Y6&dia=2026-02-19T09:00Z,,57%,0.0 mm,,0.0 MJ/m2,37.1 km/h - 261º 2:00 TU,12.2 °C 0:27 TU,9.8 °C 3:59 TU,11.1 °C
DK,Torredembarra,TORREDEMBARRA_DK,2026-02-19,2026-02-19 04:22:39,https://www.meteo.cat/observacions/xema/dades?codi=DK&dia=2026-02-19T09:00Z,,49%,0.0 mm,1008.8 hPa,0.0 MJ/m2,38.2 km/h - 299º 1:50 TU,15.0 °C 1:38 TU,13.1 °C 3:59 TU,14.3 °C
X7,Torres de Segre,TORRES_DE_SEGRE_X7,2026-02-19,2026-02-19 04:22:42,https://www.meteo.cat/observacions/xema/dades?codi=X7&dia=2026-02-19T09:00Z,,66%,0.0 mm,,0.0 MJ/m2,26.3 km/h - 271º 2:56 TU,11.6 °C 0:01 TU,8.4 °C 3:45 TU,9.9 °C
XZ,Torroella de Fluvià,TORROELLA_DE_FLUVIA_XZ,2026-02-19,2026-02-19 04:22:45,https://www.meteo.cat/observacions/xema/dades?codi=XZ&dia=2026-02-19T09:00Z,,69%,1.2 mm,,,,11.9 °C 2:28 TU,8.5 °C 3:55 TU,10.4 °C
UE,Torroella de Montgrí,TORROELLA_DE_MONTGRI_UE,2026-02-19,2026-02-19 04:22:47,https://www.meteo.cat/observacions/xema/dades?codi=UE&dia=2026-02-19T09:00Z,,77%,0.0 mm,,,,11.6 °C 0:00 TU,9.3 °C 0:55 TU,10.4 °C
WR,Torroja del Priorat,TORROJA_DEL_PRIORAT_WR,2026-02-19,2026-02-19 04:22:50,https://www.meteo.cat/observacions/xema/dades?codi=WR&dia=2026-02-19T09:00Z,,56%,0.0 mm,,0.0 MJ/m2,21.6 km/h - 282º 0:20 TU,12.6 °C 0:00 TU,10.1 °C 3:56 TU,11.4 °C
XQ,Tremp,TREMP_XQ,2026-02-19,2026-02-19 04:22:53,https://www.meteo.cat/observacions/xema/dades?codi=XQ&dia=2026-02-19T09:00Z,,74%,0.0 mm,,0.0 MJ/m2,33.8 km/h - 278º 0:56 TU,8.9 °C 0:29 TU,4.8 °C 3:00 TU,7.0 °C
C7,Tàrrega,TARREGA_C7,2026-02-19,2026-02-19 04:22:55,https://www.meteo.cat/observacions/xema/dades?codi=C7&dia=2026-02-19T09:00Z,,82%,0.0 mm,1008.9 hPa,0.0 MJ/m2,34.6 km/h - 229º 3:50 TU,8.8 °C 0:24 TU,6.4 °C 3:59 TU,7.8 °C
YG,Tírvia,TIRVIA_YG,2026-02-19,2026-02-19 04:22:58,https://www.meteo.cat/observacions/xema/dades?codi=YG&dia=2026-02-19T09:00Z,,74%,0.3 mm,1009.1 hPa,0.0 MJ/m2,24.5 km/h - 28º 0:44 TU,5.3 °C 0:20 TU,1.8 °C 3:21 TU,3.5 °C
UX,Ulldecona - els Valentins,ULLDECONA___ELS_VALENTINS_UX,2026-02-19,2026-02-19 04:23:01,https://www.meteo.cat/observacions/xema/dades?codi=UX&dia=2026-02-19T09:00Z,,52%,0.0 mm,,0.0 MJ/m2,46.1 km/h - 324º 0:40 TU,13.4 °C 1:16 TU,9.5 °C 2:11 TU,11.8 °C
XD,Ulldemolins,ULLDEMOLINS_XD,2026-02-19,2026-02-19 04:23:03,https://www.meteo.cat/observacions/xema/dades?codi=XD&dia=2026-02-19T09:00Z,,67%,0.0 mm,1010.3 hPa,0.0 MJ/m2,48.2 km/h - 298º 1:33 TU,9.0 °C 0:00 TU,5.7 °C 3:59 TU,7.2 °C
D2,Vacarisses,VACARISSES_D2,2026-02-19,2026-02-19 04:23:06,https://www.meteo.cat/observacions/xema/dades?codi=D2&dia=2026-02-19T09:00Z,,63%,0.0 mm,1007.9 hPa,,,11.9 °C 0:59 TU,8.7 °C 3:44 TU,10.8 °C
V1,Vallfogona de Balaguer,VALLFOGONA_DE_BALAGUER_V1,2026-02-19,2026-02-19 04:23:08,https://www.meteo.cat/observacions/xema/dades?codi=V1&dia=2026-02-19T09:00Z,,84%,0.0 mm,,-0.1 MJ/m2,28.1 km/h - 277º 3:38 TU,10.6 °C 0:00 TU,6.3 °C 3:50 TU,7.7 °C
D3,Vallirana,VALLIRANA_D3,2026-02-19,2026-02-19 04:23:11,https://www.meteo.cat/observacions/xema/dades?codi=D3&dia=2026-02-19T09:00Z,,53%,0.0 mm,1007.4 hPa,0.0 MJ/m2,37.1 km/h - 310º 2:59 TU,13.3 °C 0:08 TU,11.2 °C 3:51 TU,12.3 °C
XO,Vic,VIC_XO,2026-02-19,2026-02-19 04:23:13,https://www.meteo.cat/observacions/xema/dades?codi=XO&dia=2026-02-19T09:00Z,,72%,0.0 mm,,0.0 MJ/m2,34.6 km/h - 246º 0:29 TU,10.2 °C 0:04 TU,8.0 °C 3:52 TU,9.2 °C
VS,Vielha e Mijaran - Lac Redon (2.247 m),VIELHA_E_MIJARAN___LAC_REDON_2247_M_VS,2026-02-19,2026-02-19 04:23:16,https://www.meteo.cat/observacions/xema/dades?codi=VS&dia=2026-02-19T09:00Z,237 cm,90%,2.6 mm,,0.0 MJ/m2,56.9 km/h - 44º 2:03 TU,-4.9 °C 0:00 TU,-6.9 °C 3:54 TU,-6.2 °C
YN,Vielha e Mijaran - Vielha - Elipòrt,VIELHA_E_MIJARAN___VIELHA___ELIPORT_YN,2026-02-19,2026-02-19 04:23:19,https://www.meteo.cat/observacions/xema/dades?codi=YN&dia=2026-02-19T09:00Z,1 cm,97%,1.5 mm,1011.6 hPa,0.0 MJ/m2,13.0 km/h - 342º 0:08 TU,2.3 °C 0:00 TU,0.6 °C 2:27 TU,1.1 °C
DQ,Vila-rodona,VILA_RODONA_DQ,2026-02-19,2026-02-19 04:23:21,https://www.meteo.cat/observacions/xema/dades?codi=DQ&dia=2026-02-19T09:00Z,,50%,0.0 mm,1009.2 hPa,0.0 MJ/m2,37.4 km/h - 336º 3:42 TU,13.5 °C 0:36 TU,10.6 °C 3:40 TU,12.1 °C
YY,Viladecans - les Filipines,VILADECANS_YY,2026-02-19,2026-02-19 04:23:24,https://www.meteo.cat/observacions/xema/dades?codi=YY&dia=2026-02-19T09:00Z,,52%,0.0 mm,1007.9 hPa,0.0 MJ/m2,47.2 km/h - 267º 3:52 TU,15.1 °C 0:11 TU,13.1 °C 0:43 TU,14.3 °C
WS,Viladrau,VILADRAU_WS,2026-02-19,2026-02-19 04:23:27,https://www.meteo.cat/observacions/xema/dades?codi=WS&dia=2026-02-19T09:00Z,,77%,0.0 mm,1007.2 hPa,0.0 MJ/m2,42.5 km/h - 247º 0:26 TU,7.1 °C 0:28 TU,4.7 °C 3:51 TU,6.0 °C
W4,Vilafranca del Penedès - la Granada,VILAFRANCA_DEL_PENEDES___LA_GRANADA_W4,2026-02-19,2026-02-19 04:23:29,https://www.meteo.cat/observacions/xema/dades?codi=W4&dia=2026-02-19T09:00Z,,55%,0.0 mm,,0.0 MJ/m2,51.1 km/h - 311º 1:15 TU,12.7 °C 0:47 TU,10.3 °C 3:58 TU,11.9 °C
CQ,Vilanova de Meià,VILANOVA_DE_MEIA_CQ,2026-02-19,2026-02-19 04:23:32,https://www.meteo.cat/observacions/xema/dades?codi=CQ&dia=2026-02-19T09:00Z,,60%,0.0 mm,1008.3 hPa,,33.1 km/h - 318º 2:24 TU,8.6 °C 0:44 TU,6.5 °C 0:37 TU,7.8 °C
KE,Vilanova de Sau - Pantà de Sau,VILANOVA_DE_SAU___PANTA_DE_SAU_KE,2026-02-19,2026-02-19 04:23:35,https://www.meteo.cat/observacions/xema/dades?codi=KE&dia=2026-02-19T09:00Z,,,,,,,,,
VM,Vilanova de Segrià,VILANOVA_DE_SEGRIA_VM,2026-02-19,2026-02-19 04:23:37,https://www.meteo.cat/observacions/xema/dades?codi=VM&dia=2026-02-19T09:00Z,,74%,0.0 mm,,0.0 MJ/m2,32.0 km/h - 277º 2:38 TU,10.2 °C 0:59 TU,7.3 °C 3:36 TU,8.7 °C
YR,Vilanova i la Geltrú,VILANOVA_I_LA_GELTRU_YR,2026-02-19,2026-02-19 04:23:40,https://www.meteo.cat/observacions/xema/dades?codi=YR&dia=2026-02-19T09:00Z,,64%,0.0 mm,1009.0 hPa,0.0 MJ/m2,50.0 km/h - 289º 2:52 TU,14.3 °C 2:00 TU,9.1 °C 0:48 TU,12.2 °C
D7,Vinebre,VINEBRE_D7,2026-02-19,2026-02-19 04:23:42,https://www.meteo.cat/observacions/xema/dades?codi=D7&dia=2026-02-19T09:00Z,,52%,0.0 mm,1010.4 hPa,0.0 MJ/m2,41.4 km/h - 296º 0:55 TU,14.8 °C 0:00 TU,11.3 °C 3:54 TU,13.0 °C
U6,Vinyols i els Arcs - Cambrils,VINYOLS_I_ELS_ARCS___CAMBRILS_U6,2026-02-19,2026-02-19 04:23:45,https://www.meteo.cat/observacions/xema/dades?codi=U6&dia=2026-02-19T09:00Z,,50%,0.0 mm,,0.0 MJ/m2,24.5 km/h - 309º 0:48 TU,14.9 °C 0:26 TU,12.7 °C 3:58 TU,13.9 °C
H1,Òdena,ODENA_H1,2026-02-19,2026-02-19 04:23:48,https://www.meteo.cat/observacions/xema/dades?codi=H1&dia=2026-02-19T09:00Z,,74%,0.0 mm,1008.2 hPa,0.0 MJ/m2,42.1 km/h - 262º 1:51 TU,10.2 °C 1:28 TU,7.6 °C 0:32 TU,9.0 °C
